client_id,cluster,tipo_cliente
1a9135fed8904e6c14b456bc6bfcce8f7de5c01c1d39869f2ff2242809d9c4e1,2,novo
1aa866623d61a9a96c517a1f8a3d6326bcf2cb4dee96f7a0581aa8ee72ff0a7e,3,recorrente
1abcecd5ce9acc2b70d281042cda7fbbec553146f5cf103ea67237e50013bbfe,3,recorrente
1abdc987fbaef0267a2d0e81014a5ef2bf82f75e65920e71bac5929a17e67e7b,2,novo
1ac25195b270c0190891ab1e5b26f8c7633242732d3a384d06cd55e5c6cf9324,0,ativo
1b1680bb960c48b7f2fbe65be1c176e7fb2fbfc9d98a0c706bc6f5e6fbd18fb8,3,recorrente
1b2448e86d6f2f8e9b1273a3610e5625683a0837f11c6fdebfc040b885d9e607,0,ativo
1b33758aa997a38ab7ccea18866c3aa7a60cc236b29c9b9e77720183e2bc75c2,3,recorrente
1b3f41f7c7255a83327cf9096ba9b92442330bbbc69ce0ae688d1a9984f3292d,1,unico
1b4d60461506ec8fd000e7f71e86ef072fb64ee6cced1a529125e71368af5221,3,recorrente
1b7ec83ef252c2ddc99907e3a6db578ab9e25ca0627dfc415d1ca9d64082bba6,0,ativo
1b86dc7adc3bc7675f1818e8964e6bb8a8ddf5716b2f5146446cc8ae69d2f3ac,1,unico
1b919b9f0def340ab4bc81701c16368c95c4315f26e5dc299fc57ac513be12da,3,recorrente
1b942388fa47c7b989bfbe0ac4e1948d0afde82e503f4dc2ab05d0341edc3b14,3,recorrente
1ba9eb1655a728c672fc26f43216c2ea9853d051079254c65de742d1f16a481b,0,ativo
1baa55cc6ddf0e89561e3c8ede4a5194d69b5959a9cf28095c6198bbd08a005b,0,ativo
1bb13db1392356bd3b39f42e7140a727031791c92eb6a11fb62f3eae3a31b2ab,1,unico
1be02a3b36d1b51628953f5344bf9bb53a43c8fd8bd71fd35fdaa57717c27696,0,ativo
1c60120c66821d369de3485a733b6b0a457e1c8c02089c968052c51a1f60d9d3,0,ativo
1c6c24a5f57fb69d505370ea23d869a27e2c727e1198d3f5128af97393558896,3,recorrente
1c7000fe55290b97136369f566c457838fdfb9cbb7001f6c3dc8c25513782b2f,0,ativo
1c7f4efd593ccf0eea169ec1f3d34eb8bc82a30f9cde00c2f8c645932069b63a,0,ativo
1c8ab5e4f82951905fe39e755869c93ec5e0f0e7ae2b56882497f3c795ab77e9,3,recorrente
1c9eac3b10d4aa7a32e807fa72b1f0e0524f231b5f9fb5ddc2b1760e9803ed0d,3,recorrente
1ca84a28cc81162d11a58c42ca25877bd984a615411cd163c794b6a6ce42a03f,3,recorrente
1cb88a9f76c64f58779819451aab232629ddb7c6d35dc911145228a13e3e163a,0,ativo
1cd52a81198195687cbf9718bdca6561e2728c31621466e02f09b8b687a46ca7,0,ativo
1cdeff9f39d28783fef221bcb07e6eaa5bbf5cf13dc6824adf116dde7caf7cd2,3,recorrente
1cee41438e28b6863e7d06307f2a9a5903a92279914ae4e239fcd18149eb5f21,3,recorrente
1d50e27ad14777e201cf17d0a928e8a859bb3a45d22bf4ab8320fee450068d33,0,ativo
1d5162f57d0ab780eb81cc956516f2f03666ab0eaf436db0b0d14d47c61fdbb5,0,ativo
1d581a5eefe2eed97fcb4b71f91e461aadb217e1e9f3e62f5a8b5a82e3414e33,0,ativo
1d58fa8a1225e272adbbf61683b1b50e2ca7bdbbd753bf353c9c541a97bd188c,0,ativo
1d65211c0a0bb8dacc6853c6e4ad46d6646d22a867b3071af9b756e346d2a49a,3,recorrente
1d77e636a2d0f61da7ef54d2ba7bf6b27ed819a3e41a1838dc3c1ba51ac64ec9,0,ativo
1d8217c8b000ef87ddc63496100dc1c6dc668f40688253f4337bf4744a45f2b1,3,recorrente
1d8457f8426839f84b0249631062972cacd32d52f58414eda2dfe6303cee31ec,1,unico
